rom,title,year,manufacturer
vg802000,VG-8020-00 (MSX1),1985,Philips
vg802020,VG-8020-20 (MSX1),1985,Philips
vg8020f,VG-8020F (MSX1),19??,Philips
vg8230,VG-8230 (MSX2),1986,Philips
vg8230j,VG-8230J (MSX2),19??,Philips
vg8235,VG-8235 (MSX2),1986,Philips
vg8235f,VG-8235F (MSX2),1986,Philips
vg8240,VG-8240 (MSX2),1986,Philips
vga,VGA,,
vgoalsca,V Goal Soccer (US/Japan/Korea),1994,Tecmo
vgoalsoc,V Goal Soccer (Europe),1994,Tecmo
vhunt2,Vampire Hunter 2: Darkstalkers Revenge (Japan 970929),1997,Capcom
vhunt2d,Vampire Hunter 2: Darkstalkers Revenge (Japan 970913 Phoenix Edition) (bootleg),1997,bootleg
vhunt2r1,Vampire Hunter 2: Darkstalkers Revenge (Japan 970913),1997,Capcom
vhuntj,Vampire Hunter: Darkstalkers' Revenge (Japan 950316),1995,Capcom
vhuntjr1,Vampire Hunter: Darkstalkers' Revenge (Japan 950307),1995,Capcom
vhuntjr1s,Vampire Hunter: Darkstalkers' Revenge (Japan 950307 stop version),1995,Capcom
vhuntjr2,Vampire Hunter: Darkstalkers' Revenge (Japan 950302),1995,Capcom
via6522,6522 VIA,,
vic10,VIC-10 / Max Machine / UltiMax (NTSC),1982,Commodore Business Machines
vic1001,VIC-1001 (Japan),1980,Commodore Business Machines
vic1010,VIC1010,,
vic1011,VIC1011,,
vic10_expansion_slot,VIC-10 expansion port,,
vic10_standard,VIC-10 Standard Cartridge,,
vic1110,VIC1110,,
vic1111,VIC1111,,
vic1112,VIC1112,,
vic1210,VIC1210,,
vic1515,VIC-1515,,
vic1520,VIC-1520,,
vic20,VIC-20 (NTSC),1981,Commodore Business Machines
vic20_expansion_slot,VIC-20 expansion port,,
vic20_fe3,Final Expansion v3,,
vic20_se,VIC-20 (Sweden/Finland),1981,Commodore Business Machines
vic20_standard,VIC-20 Standard Cartridge,,
vic20p,VIC-20 / VC-20 (PAL),1981,Commodore Business Machines
victhc90,HC-90 (MSX2),198?,Victor
victhc95,HC-95 (MSX2),1986,Victor
victhc95a,HC-95A (MSX2),1986,Victor
victlapw,Ace Driver: Victory Lap (Rev. ADV2),1996,Namco
victnine,Victorious Nine,1984,Taito
victor,Victor,1980,Micronique
victor21,Victor 21,1990,Subsino / Buffy
victor5,G.E.A.,1991,Subsino
victor6,Victor 6 (v2.3N),1995,American Alpha
victor6a,Victor 6 (v2.3),1995,American Alpha
victor6b,Victor 6 (v1.2),1995,American Alpha
victor9k,Victor 9000,1982,Victor Business Products
victor9k_fdc,Victor 9000 FDC,,
victor9kb,Victor 9000 Keyboard,,
victorba,Victor Banana,1982,Exidy
victory,Victory,1982,Exidy
victory_sound,Exidy SFX+PSG+Speech,,
victoryp,Victory (Pinball),1987,Gottlieb
victroad,Victory Road,1986,SNK
vidbrain,VideoBrain FamilyComputer,1977,VideoBrain Computer Company
videobrain_expansion_slot,VideoBrain expansion port,,
videocba,Video Cordoba,1987,InterFlip
videodad,Video Dado,1987,InterFlip
videomat,Videomat (Polish bootleg),1990,bootleg
videopac,Videopac G7000/C52,1979,Philips
videopin,Video Pinball,1979,Atari
videopkr,Video Poker,1984,InterFlip
videtrna,Videotron Poker (normal controls),198?,<unknown>
videtron,"Videotron Poker (cards selector, set 1)",198?,<unknown>
videtron2,"Videotron Poker (cards selector, set 2)",198?,<unknown>
vidvince,Video Vince and the Game Factory (prototype),1984,Mylstar
viewpoin,Viewpoint,1992,Sammy / Aicom
vigilant,"Vigilante (World, Rev E)",1988,Irem
vigilanta,"Vigilante (World, Rev A)",1988,Irem
vigilantb,"Vigilante (US, Rev B)",1988,Irem (Data East license)
vigilantbl,Vigilante (bootleg),1988,bootleg
vigilantc,"Vigilante (World, Rev C)",1988,Irem
vigilantd,"Vigilante (Japan, Rev D)",1988,Irem
vigilantg,"Vigilante (US, Rev G)",1988,Irem (Data East license)
vigilanto,Vigilante (US),1988,Irem (Data East license)
vii,Vii,2007,Jungle Soft / KenSingTon / Chintendo / Siatronics
viking,Viking,1980,Bally
vikingt,Viking Treasure,199?,Konami
vimana,"Vimana (World, set 1)",1991,Toaplan
vimanaj,Vimana (Japan),1991,Toaplan
vimanan,"Vimana (World, set 2)",1991,Toaplan
vindctr2,Vindicators Part II (rev 3),1988,Atari Games
vindctr2r1,Vindicators Part II (rev 1),1988,Atari Games
vindctr2r2,Vindicators Part II (rev 2),1988,Atari Games
vindictr,Vindicators (rev 5),1988,Atari Games
vindictr1,Vindicators (rev 1),1988,Atari Games
vindictr2,Vindicators (rev 2),1988,Atari Games
vindictr4,Vindicators (rev 4),1988,Atari Games
vindictre,"Vindicators (Europe, rev 5)",1988,Atari Games
vindictre3,"Vindicators (Europe, rev 3)",1988,Atari Games
vindictre4,"Vindicators (Europe, rev 4)",1988,Atari Games
vindictrg,"Vindicators (German, rev 1)",1988,Atari Games
vinvader,Invaders (VTech),1981,VTech
viofight,Violence Fight (World),1989,Taito Corporation Japan
viofightj,Violence Fight (Japan),1989,Taito Corporation
viofightu,Violence Fight (US),1989,Taito America Corporation
viostorm,Violent Storm (ver EAC),1993,Konami
viostorma,Violent Storm (ver AAC),1993,Konami
viostormab,Violent Storm (ver AAB),1993,Konami
viostormeb,Violent Storm (ver EAB),1993,Konami
viostormj,Violent Storm (ver JAC),1993,Konami
viostormu,Violent Storm (ver UAC),1993,Konami
viostormub,Violent Storm (ver UAB),1993,Konami
vip,Cosmac VIP (VP-711),1977,RCA
vip64,VIP-64 (Sweden/Finland),1984,Commodore Business Machines
vip_byteio_port,VIP byte I/O port,,
vip_expansion_slot,VIP expansion port,,
vipclub,Vip Club - Maru-hi Ippatsu Kaihou [BET] (Japan 880310),1988,Daiichi Denshi
viper,Viper,1988,Leland Corp.
viperp,Viper (Pinball),1981,Stern
viprp1,"Viper Phase 1 (New Version, World)",1995,Seibu Kaihatsu
viprp1h,"Viper Phase 1 (New Version, Holland)",1995,Seibu Kaihatsu
viprp1hk,Viper Phase 1 (Hong Kong),1995,Seibu Kaihatsu (Metrotainment license)
viprp1j,"Viper Phase 1 (New Version, Japan)",1995,Seibu Kaihatsu
viprp1k,"Viper Phase 1 (New Version, Korea)",1995,Seibu Kaihatsu (Dream Island license)
viprp1oj,Viper Phase 1 (Japan),1995,Seibu Kaihatsu
viprp1ot,Viper Phase 1 (Germany),1995,Seibu Kaihatsu (Tuning license)
viprp1s,"Viper Phase 1 (New Version, Switzerland)",1995,Seibu Kaihatsu
viprp1u,"Viper Phase 1 (New Version, US set 1)",1995,Seibu Kaihatsu (Fabtek license)
viprp1ua,"Viper Phase 1 (New Version, US set 2)",1995,Seibu Kaihatsu (Fabtek license)
viprsega,Viper Night Drivin',1998,Sega
virge_vga,S3 86C325,,
virgedx_r1,S3 86C375 (rev 1),,
virgedx_vga,S3 86C375,,
virnba,"Virtua NBA (JPN, USA, EXP, KOR, AUS)",2000,Sega
virnbao,"Virtua NBA (JPN, USA, EXP, KOR, AUS) (original)",2000,Sega
virnbap,Virtua NBA (prototype),2000,Sega
virtpool,Virtual Pool,1998,Incredible Technologies
visicom,Visicom COM-100 (Japan),1978,Toshiba
visor,Visor Edge,2001,Handspring
vitaminc,Mahjong Vitamin C (Japan),1989,Home Data
vivdolls,Vivid Dolls,1998,Visco
vixen,Vixen,1984,Osborne
vk100,VK100 'GIGI',1980,Digital Equipment Corporation
vlcno_1a,Volcano (Sound Only set 2),1981,Gottlieb
vlcno_1b,Volcano (Sound Only set 1),1981,Gottlieb
vlcno_ax,Volcano,1981,Gottlieb
vliner,V-Liner (set 1),2001,Dyna / BrezzaSoft
vlinero,V-Liner (set 2),2001,Dyna / BrezzaSoft
vlm5030,VLM5030,,
vmahjong,Virtual Mahjong (J 961214 V1.000),1997,Micronet
vmdtbase,Videomaster Database Games-Computer,1979,Videomaster
vmetal,Varia Metal,1995,Excellent System
vmetaln,Varia Metal (New Ways Trading Co.),1995,Excellent System (New Ways Trading Co. license)
vnight,Vampire Night (VPN3 Ver. B),2001,Sega / Namco
vocaid,Vocaid,1982,Texas Instruments
voleybal,Voley Ball,198?,Taito do Brasil
volfied,"Volfied (World, revision 1)",1989,Taito Corporation Japan
volfiedj,"Volfied (Japan, revision 1)",1989,Taito Corporation
volfiedjo,Volfied (Japan),1989,Taito Corporation
volfiedo,Volfied (World),1989,Taito Corporation Japan
volfiedu,"Volfied (US, revision 1)",1989,Taito America Corporation
volfieduo,Volfied (US),1989,Taito America Corporation
vollyrmt,Volly (Ramtek) [TTL],1973,Ramtek
voltan,Voltan Escapes Cosmic Doom,1978,Bally
von,"Cyber Troopers Virtual-On (USA, Revision B)",1996,Sega
von2,Virtual On 2: Oratorio Tangram (Revision B),1998,Sega
von254g,Virtual On 2: Oratorio Tangram (ver 5.4g),1998,Sega
vonj,"Cyber Troopers Virtual-On (Japan, Revision B)",1996,Sega
vonot,Virtual On Oratorio Tangram M.S.B.S. ver5.66 2000 Edition,2000,Sega
voodoo_1,3dfx Voodoo Graphics,,
voodoo_2,3dfx Voodoo 2,,
voodoo_3,3dfx Voodoo 3,,
voodoo_banshee,3dfx Voodoo Banshee,,
voodoo_pci,Voodoo PCI,,
vortex,Vortex,1980,Zilec Electronics
vortexp,Vortex (Pinball),1982,Taito do Brasil
votrax,Votrax SC-01,,
votrpss,Personal Speech System,1982,Votrax
votrtnt,Type 'N Talk,1980,Votrax
voyager,Star Trek: Voyager,2002,Team Play/Game Refuge/Monaco Entertainment
vp111,Cosmac VIP (VP-111),1977,RCA
vp550,VP550,,
vp570,VP570,,
vp575,VP575,,
vp585,VP585,,
vp590,VP590,,
vp595,VP595,,
vp620,VP620,,
vp700,VP700,,
vpoker,Videotronics Draw Poker,198?,"Videotronics, Inc."
vpool,Video Pool (bootleg on Moon Cresta hardware),1981,bootleg
vr,Virtua Racing,1992,Sega
vr0video,VRender0 Video,,
vr4300be,VR4300 (big),,
vr4310le,VR4310 (little),,
vrc4373,NEC VRC4373 System Controller,,
vrc6snd,VRC6 sound,,
vrender0,VRender0,,
vrkon_l1,Varkon (L-1),1982,Williams
vrnwrld,Verne's World,1996,Spinball
vroulet,Vegas Roulette,1989,World Game
vs10yard,"Vs 10-Yard Fight (World, 11/05/84)",1984,Irem
vs10yardj,Vs 10-Yard Fight (Japan),1984,Irem
vs10yardu,"Vs 10-Yard Fight (US, Taito license)",1984,Irem (Taito license)
vs2,Virtua Striker 2 (Step 2.0),1997,Sega
vs2002ex,Virtua Striker 2002 (GDT-0002),2002,Sega / Amusement Vision
vs2002j,Virtua Striker 2002 (GDT-0001),2002,Sega / Amusement Vision
vs215,Virtua Striker 2 (Step 1.5),1997,Sega
vs215o,"Virtua Striker 2 (Step 1.5, older)",1997,Sega
vs298,Virtua Striker 2 '98 (Step 2.0),1998,Sega
vs29815,Virtua Striker 2 '98 (Step 1.5),1998,Sega
vs299,Virtua Striker 2 '99,1999,Sega
vs299a,Virtua Striker 2 '99 (Revision A),1999,Sega
vs299b,Virtua Striker 2 '99 (Revision B),1999,Sega
vs2_2k,"Virtua Striker 2 Ver. 2000 (JPN, USA, EXP, KOR, AUS) (Rev C)",1999,Sega
vs2v991,Virtua Striker 2 '99.1 (Revision B),1999,Sega
vs4,Virtua Striker 4 (Export) (GDT-0015),2004,Sega
vs42006,Virtua Striker 4 Ver.2006 (Japan) (Rev D) (GDT-0020D),2006,Sega
vs42k6ex,Virtua Striker 4 Ver.2006 (Export) (GDT-0021),2006,Sega
vs4j,Virtua Striker 4 (Japan) (Rev E) (GDT-0013E),2005,Sega
vs920a,VS920A Text Tilemap,,
vsaturn,V-Saturn,1995,JVC
vsav,Vampire Savior: The Lord of Vampire (Euro 970519),1997,Capcom
vsav2,Vampire Savior 2: The Lord of Vampire (Japan 970913),1997,Capcom
vsav2d,Vampire Savior 2: The Lord of Vampire (Japan 970913 Phoenix Edition) (bootleg),1997,bootleg
vsava,Vampire Savior: The Lord of Vampire (Asia 970519),1997,Capcom
vsavd,Vampire Savior: The Lord of Vampire (Euro 970519 Phoenix Edition) (bootleg),1997,bootleg
vsavh,Vampire Savior: The Lord of Vampire (Hispanic 970519),1997,Capcom
vsavj,Vampire Savior: The Lord of Vampire (Japan 970519),1997,Capcom
vsavu,Vampire Savior: The Lord of Vampire (USA 970519),1997,Capcom
vsbball,"Vs. BaseBall (US, set BA E-1)",1984,Nintendo of America
vsbballj,"Vs. BaseBall (Japan, set BA A-3)",1984,"Nintendo Co., Ltd."
vsbballja,"Vs. BaseBall (Japan, set BA A-2)",1984,"Nintendo Co., Ltd."
vsbballjb,"Vs. BaseBall (Japan, set BA A-1)",1984,"Nintendo Co., Ltd."
vsc,Voice Sensory Chess Challenger (English),1980,Fidelity Electronics
vscfr,Voice Sensory Chess Challenger (French),1980,Fidelity Electronics
vscg,Voice Sensory Chess Challenger (German),1980,Fidelity Electronics
vscsp,Voice Sensory Chess Challenger (Spanish),1980,Fidelity Electronics
vsfdf,Vs. Freedom Force,1988,Sunsoft
vsgongf,VS Gong Fight,1984,Kaneko
vsgradus,"Vs. Gradius (US, set GR E)",1986,Konami
vsgshoe,Vs. Gumshoe (set GM5),1986,Nintendo
vshoot,J-League Soccer V-Shoot (Japan),1994,Namco
vsmahjng,Vs. Mahjong (Japan),1984,"Nintendo Co., Ltd."
vsmile,V-Smile (Germany),2005,V-Tech
vsmilef,V-Smile (France),2005,V-Tech
vsnetscr,Versus Net Soccer (ver EAD),1996,Konami
vsnetscra,Versus Net Soccer (ver AAA),1996,Konami
vsnetscreb,Versus Net Soccer (ver EAB),1996,Konami
vsnetscrj,Versus Net Soccer (ver JAB),1996,Konami
vsnetscru,Versus Net Soccer (ver UAB),1996,Konami
vspinbal,"Vs. Pinball (US, set PN4 E-1)",1984,Nintendo
vspinbalj,"Vs. Pinball (Japan, set PN3 B)",1984,"Nintendo Co., Ltd."
vspsx,Video System PSX,1996,Video System Co.
vsskykid,Vs. Super SkyKid,1985,Namco
vsslalom,Vs. Slalom,1986,Rare Coin-It Inc.
vssoccer,Vs. Soccer (set SC4-2 A),1985,Nintendo
vssoccera,Vs. Soccer (set SC4-3 ?),1985,Nintendo
vstennis,"Vs. Tennis (Japan/USA, set TE A-3)",1984,"Nintendo Co., Ltd."
vstennisa,"Vs. Tennis (Japan/USA, set 2)",1984,"Nintendo Co., Ltd."
vstennisb,"Vs. Tennis (Japan/USA, set 3)",1984,"Nintendo Co., Ltd."
vstetris,Vs. Tetris,1987,Academysoft-Elorg
vstrik3,Virtua Striker 3 Ver. 2002 (GDS-0006),2001,Sega
vstrik3c,"Virtua Striker 3 (USA, EXP, KOR, AUS) (Rev B)",2001,Sega
vstrik3co,"Virtua Striker 3 (USA, EXP, KOR, AUS)",2001,Sega
vstriker,Virtua Striker (Revision A),1994,Sega
vstrikero,Virtua Striker,1994,Sega
vsystem_spr,Video System Sprites,,
vsystem_spr2,Video System Sprites Type 2,,
vt100,VT100,1978,Digital Equipment Corporation
vt100_video,VT100 Video,,
vt101,VT101,1981,Digital Equipment Corporation
vt102,VT102,1981,Digital Equipment Corporation
vt105,VT105,1978,Digital Equipment Corporation
vt131,VT131,1981,Digital Equipment Corporation
vt180,VT180,1983,Digital Equipment Corporation
vt220,VT220,1983,Digital Equipment Corporation
vt240,VT240,1983,Digital Equipment Corporation
vt320,VT320,1987,Digital Equipment Corporation
vt520,VT520,1994,Digital Equipment Corporation
vt82c496,VIA VT82C496G system chipset,,
vt82c505,VIA VT82C505 PCI bridge,,
vt83c461,VIA VT83C461,,
vta2000,VTA-2000,19??,<unknown>
vtenis2c,"Virtua Tennis 2 / Power Smash 2 (JPN) (USA, EXP, KOR, AUS) (Cart, Rev A)",2001,Sega
vtennis,"Virtua Tennis (USA, EXP, KOR, AUS) / Power Smash (JPN)",1999,Sega
vtennis2,Virtua Tennis 2 / Power Smash 2 (Rev A) (GDS-0015A),2001,Sega
vtennis3,Virtua Tennis 3 (Japan),2006,Sega
vtennisg,Virtua Tennis / Power Smash (GDS-0011),1999,Sega
vulcan,Vulcan Venture (New),1988,Konami
vulcana,Vulcan Venture (Old),1988,Konami
vulcanb,Vulcan Venture (Oldest),1988,Konami
vulgus,Vulgus (set 1),1984,Capcom
vulgusa,Vulgus (set 2),1984,Capcom
vulgusj,Vulgus (Japan?),1984,Capcom
vz200,VZ-200 (Oceania),1984,Dick Smith Electronics
vz2000,VZ 2000 (Oceania),1983,Dick Smith Electronics
vz200de,VZ-200 (Germany & Netherlands),1983,Video Technology
vz300,VZ-300 (Oceania),1984,Dick Smith Electronics
vz_rs232,DSE VZ-200/300 RS-232 Interface,,
wackadoo,Wack-A-Doodle-Doo (Redemption),1998,Sega
wacko,Wacko,1982,Bally Midway
wackygtr,Wacky Gator,1990,Data East
wakuwak7,Waku Waku 7,1996,Sunsoft
wales210,ES-210,199?,Walther
wallc,Wall Crash (set 1),1984,Midcoin
wallca,Wall Crash (set 2),1984,Midcoin
walle,Wall-E,2008,JAKKS Pacific Inc
wallst,Wall Street,1982,Century Electronics
wanganmd,Wangan Midnight (WMN1 Ver. A),2001,Namco
wanganmr,Wangan Midnight R (WMR1 Ver. A),2002,Namco
wangmd2b,Wangan Midnight Maximum Tune 2 (Export) (Rev A) (GDX-0016A),2005,Namco
wangmid,Wangan Midnight Maximum Tune (Export) (Rev B) (GDX-0009B),2004,Namco
wangmid2,Wangan Midnight Maximum Tune 2 (Japan) (GDX-0015),2005,Namco
wangpc,Wang Professional Computer,1985,Wang Laboratories
wangpc_emb,Wang PC-PM031-B,,
wangpc_lic,Wang PC-PM070,,
wangpc_lvc,Wang PC Low Resolution Video Card,,
wangpc_mcc,Wang PC-PM043,,
wangpc_mvc,Wang PC Medium Resolution Video Card,,
wangpc_rtc,Wang PC-PM040-B,,
wangpc_tig,Wang PC TIG Controller,,
wangpc_wdc,Wang PC-PM001,,
wangpcbus,Wang PC bus,,
wangpcbus_slot,Wang PC bus slot,,
wangpckb,Wang PC Keyboard,,
wanted,Wanted,1984,Sigma Enterprises Inc.
warcadia,Waga Seishun no Arcadia,1980,Sigma Enterprises Inc.
wardner,Wardner (World),1987,Toaplan / Taito Corporation Japan
wardnerj,Wardner no Mori (Japan),1987,Toaplan / Taito Corporation
warfa,"War: The Final Assault (EPROM 1.9 Mar 25 1999, GUTS 1.3 Apr 20 1999, GAME Apr 20 1999)",1999,Atari Games
warfaa,"War: The Final Assault (EPROM 1.6 Jan 14 1999, GUTS 1.1 Mar 16 1999, GAME Mar 16 1999)",1999,Atari Games
wargods,War Gods (HD 10/09/1996 - Dual Resolution),1995,Midway
wargodsa,War Gods (HD 08/15/1996),1995,Midway
wargodsb,War Gods (HD 12/11/1995),1995,Midway
warlords,Warlords,1980,Atari
warofbug,War of the Bugs or Monsterous Manouvers in a Mushroom Maze,1981,Armenia / Food and Fun Corp
warofbugg,War of the Bugs or Monsterous Manouvers in a Mushroom Maze (German),1981,Armenia
warofbugu,War of the Bugs or Monsterous Manouvers in a Mushroom Maze (US),1981,Armenia / Super Video Games
warpsped,Warp Speed (prototype),1979?,"Meadows Games, Inc."
warpwarp,Warp & Warp,1981,Namco
warpwarp_sound,Warp Warp Audio Custom,,
warpwarpr,Warp Warp (Rock-Ola set 1),1981,Namco (Rock-Ola license)
warpwarpr2,Warp Warp (Rock-Ola set 2),1981,Namco (Rock-Ola license)
warrior,Warrior,1979,Vectorbeam
warriorb,Warrior Blade - Rastan Saga Episode III (Japan),1991,Taito Corporation
warzard,Warzard (Japan 961121),1996,Capcom
warzardr1,Warzard (Japan 961023),1996,Capcom
waterski,Water Ski,1983,Taito Corporation
waterwld,Waterworld (rev.3),1995,Gottlieb
waterwld2,Waterworld (rev.2),1995,Gottlieb
watrball,Water Balls,1996,ABM
wave,Wave,,
waverunr,"Wave Runner (Japan, Revision A)",1996,Sega
waveshrk,"Wave Shark (UAB, USA v1.04)",1996,Konami
wb3,"Wonder Boy III - Monster Lair (set 6, World, System 16B) (8751 317-0098)",1988,Sega / Westone
wb31,"Wonder Boy III - Monster Lair (set 1, Japan, System 16A) (FD1094 317-0084)",1988,Sega / Westone
wb31d,"Wonder Boy III - Monster Lair (set 1, Japan, System 16A) (bootleg of FD1094 317-0084 set)",1988,bootleg
wb32,"Wonder Boy III - Monster Lair (set 2, Japan, System 16B) (FD1094 317-0085)",1988,Sega / Westone
wb32d,"Wonder Boy III - Monster Lair (set 2, Japan, System 16B) (bootleg of FD1094 317-0085 set)",1988,bootleg
wb33,"Wonder Boy III - Monster Lair (set 3, World, System 16B) (FD1094 317-0089)",1988,Sega / Westone
wb33d,"Wonder Boy III - Monster Lair (set 3, World, System 16B) (bootleg of FD1094 317-0089 set)",1988,bootleg
wb34,"Wonder Boy III - Monster Lair (set 4, Japan, System 16B) (FD1094 317-0087)",1988,Sega / Westone
wb34d,"Wonder Boy III - Monster Lair (set 4, Japan, System 16B) (bootleg of FD1094 317-0087 set)",1988,bootleg
wb35,"Wonder Boy III - Monster Lair (set 5, Japan, System 16A) (FD1089A 317-0086)",1988,Sega / Westone
wb35d,"Wonder Boy III - Monster Lair (set 5, Japan, System 16A) (bootleg of FD1089A 317-0086 set)",1988,bootleg
wb3bbl,Wonder Boy III - Monster Lair (bootleg),1988,bootleg
wb3bble,Wonder Boy III - Monster Lair (encrypted bootleg),1988,bootleg
wbbc97,Beach Festival World Championship 1997,1997,Comad
wbdeluxe,Wonder Boy Deluxe,1986,Escape (Sega license)
wbeachvl,World Beach Volley (set 1),1995,Playmark
wbeachvl2,World Beach Volley (set 2),1995,Playmark
wbeachvl3,World Beach Volley (set 3),1995,Playmark
wbml,"Wonder Boy in Monster Land (Japan New Ver., MC-8123, 317-0043)",1987,Sega / Westone
wbmlb,Wonder Boy in Monster Land (English bootleg set 1),1987,bootleg
wbmlbg,Wonder Boy in Monster Land (English bootleg set 2),1987,bootleg (Galaxy Electronics)
wbmlbge,Wonder Boy in Monster Land (English bootleg set 3),1987,bootleg (Gecas)
wbmljb,Wonder Boy in Monster Land (Japan bootleg),1987,bootleg
wbmljo,"Wonder Boy in Monster Land (Japan Old Ver., MC-8123, 317-0043)",1987,Sega / Westone
wbmlvc,"Wonder Boy in Monster Land (English, Virtual Console)",2009,Sega
wboy,"Wonder Boy (set 1, 315-5177)",1986,Escape (Sega license)
wboy2,"Wonder Boy (set 2, 315-5178)",1986,Escape (Sega license)
wboy2u,"Wonder Boy (set 2, not encrypted)",1986,Escape (Sega license)
wboy3,"Wonder Boy (set 3, 315-5135)",1986,Escape (Sega license)
wboy4,"Wonder Boy (315-5162, 4-D Warriors Conversion)",1986,Escape (Sega license)
wboy5,"Wonder Boy (set 5, bootleg)",1986,bootleg
wboyo,"Wonder Boy (set 1, 315-5135)",1986,Escape (Sega license)
wboysys2,Wonder Boy (system 2),1986,Escape (Sega license)
wboyu,Wonder Boy (prototype?),1986,Escape (Sega license)
wboyub,Wonder Boy (US bootleg),1986,bootleg
wc90,Tecmo World Cup '90 (World),1989,Tecmo
wc90a,Tecmo World Cup '90 (Euro set 1),1989,Tecmo
wc90b,Tecmo World Cup '90 (Euro set 2),1989,Tecmo
wc90b1,Euro League (Italian hack of Tecmo World Cup '90),1989,bootleg
wc90b2,Worldcup '90,1989,bootleg
wc90ba,Euro League (Italian hack of Temco World Cup '90 - alt version),1989,bootleg
wc90t,Tecmo World Cup '90 (trackball set 1),1989,Tecmo
wcat3,Wild Cat 3,198?,E.A.I.
wcatcher,Mahjong Wakuwaku Catcher (Japan),1993,Nichibutsu
wcbowl,World Class Bowling (v1.66),1995,Incredible Technologies
wcbowl11,World Class Bowling (v1.1),1995,Incredible Technologies
wcbowl12,World Class Bowling (v1.2),1995,Incredible Technologies
wcbowl13,World Class Bowling (v1.3),1995,Incredible Technologies
wcbowl13j,"World Class Bowling (v1.3J, Japan)",1995,Incredible Technologies
wcbowl14,World Class Bowling (v1.4),1995,Incredible Technologies
wcbowl140,World Class Bowling Tournament (v1.40),1997,Incredible Technologies
wcbowl15,World Class Bowling (v1.5),1995,Incredible Technologies
wcbowl16,World Class Bowling (v1.6),1995,Incredible Technologies
wcbowl161,World Class Bowling (v1.61),1995,Incredible Technologies
wcbowl165,World Class Bowling (v1.65),1995,Incredible Technologies
wcbowldx,World Class Bowling Deluxe (v2.00),1999,Incredible Technologies
wccf212e,World Club Champion Football Serie A 2002-2003 Ver.2.12 (CDV-10002),2004,Sega
wccf234j,World Club Champion Football Serie A 2002-2003 Ver.2.34 (CDV-10008),2004,Sega
wccf310j,World Club Champion Football European Clubs 2004-2005 (CDV-10013),2005,Sega
wccf322e,World Club Champion Football European Clubs 2004-2005 Ver.3.22 (CDV-10015P),2005,Sega
wccf331e,World Club Champion Football European Clubs 2004-2005 Ver.1.1 (CDV-10015),2005,Sega
wccf420e,World Club Champion Football European Clubs 2005-2006 (CDV-10027),2006,Sega
wcherry,Win Cherry (ver 0.16 - 19990219),2001,bootleg
wcombat,World Combat (ver AAD:B),2002,Konami
wcombatb,"World Combat (ver AAD:B, alt)",2002,Konami
wcombatj,World Combat (ver JAA),2002,Konami
wcombatk,World Combat (ver KBC:B),2002,Konami
wcombatu,World Combat / Warzaid (ver UCD:B),2002,Konami
wcs_l2,World Cup Soccer (Lx-2),1994,Bally
wcs_la2,World Cup Soccer (La-2),1994,Bally
wcs_p2,World Cup Soccer (Pa-2),1994,Bally
wcs_p3,World Cup Soccer (Px-3),1994,Bally
wcsoccer,World Challenge Soccer (rev.1),1994,Gottlieb
wcsoccerd2,World Challenge Soccer (disp.rev.2),1994,Gottlieb
wcup90,World Cup 90,1990,Mr Game
wcvol95,World Cup Volley '95 (Japan v1.0),1995,Data East Corporation
wcvol95x,World Cup Volley '95 Extra Version (Asia v2.0B),1995,Data East Corporation
wd1002a_wx1,WD1002A-WX1,,
wd11c00_17,Western Digital WD11C00-17,,
wd1770,WD1770,,
wd1772,WD1772,,
wd1773,WD1773,,
wd2010,Western Digital WD2010,,
wd2793,WD2793,,
wd2797,WD2797,,
wd33c93,33C93 SCSI,,
wd7600,WD 7600 chipset,,
wd_03r,Who Dunnit (0.3 R),1995,Bally
wd_048r,Who Dunnit (0.48 R),1995,Bally
wd_10f,Who Dunnit (1.0 French),1995,Bally
wd_10g,Who Dunnit (1.0 Germany),1995,Bally
wd_10r,Who Dunnit (1.0 R),1995,Bally
wd_11,Who Dunnit (1.1),1995,Bally
wd_12,Who Dunnit (1.2),1995,Bally
wd_12g,Who Dunnit (1.2 Germany),1995,Bally
wdun,Who Dunnit (Russian),200?,WMS
wdxt_gen,Western Digital WDXT-GEN (Amstrad PC1512/1640),,
wecleman,"WEC Le Mans 24 (v2.00, set 1)",1986,Konami
weclemana,"WEC Le Mans 24 (v2.00, set 2)",1986,Konami
weclemanb,WEC Le Mans 24 (v1.26),1986,Konami
weddingr,Wedding Rhapsody (GX624 JAA),1997,Konami
welltris,"Welltris (World?, 2 players)",1991,Video System Co.
welltrisj,"Welltris (Japan, 2 players)",1991,Video System Co.
westdrm,Western Dream,1992,Sega
westgun2,Western Gun Part II,1980,Nintendo (Taito Corporation license)
weststry,West Story (bootleg of Blood Bros.),1990,bootleg (Datsu)
westvent,Western Venture (Ver. AA.02.D),2007?,Astro Corp.
wexpress,"Western Express (Japan, rev 4)",1986,Data East Corporation
wexpressb1,Western Express (bootleg set 1),1986,bootleg
wexpressb2,Western Express (bootleg set 2),1986,bootleg
wexpressb3,Western Express (bootleg set 3),1986,bootleg
wfortune,Wheel Of Fortune (set 1),1989,GameTek
wfortunea,Wheel Of Fortune (set 2),1989,GameTek
wg3dh,Wayne Gretzky's 3D Hockey,1996,Atari Games
wgp,World Grand Prix (US),1989,Taito America Corporation
wgp2,World Grand Prix 2 (Japan),1990,Taito Corporation
